AgeGroup,Health,Housing Quality,Leisure Time,Life,Living Condition,Professional Wellbeing,Financial Situation
58 и старше,6,8,4,8,9,10,8
58 и старше,6,8,4,8,10,8,5
58 и старше,6,8,4,8,10,89,7
58 и старше,6,8,4,9,5,9,4
29–38,6,8,4,9,8,8,8
58 и старше,6,8,4,9,9,4,9
15–17,6,8,4,9,9,8,4
29–38,6,8,4,10,7,8,7
58 и старше,6,8,4,10,7,10,9
39–48,6,8,4,10,8,5,4
29–38,6,8,4,10,8,9,8
18–28,6,8,4,10,8,89,9
58 и старше,6,8,4,10,8,89,9
39–48,6,8,4,10,9,89,5
49–57,6,8,4,10,10,4,7
49–57,6,8,4,10,10,7,8
49–57,6,8,5,5,5,10,8
58 и старше,6,8,5,5,7,9,7
58 и старше,6,8,5,5,7,89,8
39–48,6,8,5,5,8,89,7
29–38,6,8,5,5,9,9,10
39–48,6,8,5,5,10,6,7
29–38,6,8,5,6,4,8,6
29–38,6,8,5,6,7,6,8
39–48,6,8,5,6,7,7,6
39–48,6,8,5,6,7,7,8
29–38,6,8,5,6,7,8,7
18–28,6,8,5,6,7,9,2
49–57,6,8,5,6,7,9,6
29–38,6,8,5,6,8,7,7
49–57,6,8,5,6,8,8,8
49–57,6,8,5,6,8,9,9
58 и старше,6,8,5,6,9,4,6
58 и старше,6,8,5,6,10,9,6
58 и старше,6,8,5,7,4,9,7
58 и старше,6,8,5,7,5,7,8
49–57,6,8,5,7,5,7,9
29–38,6,8,5,7,5,8,6
29–38,6,8,5,7,6,5,9
39–48,6,8,5,7,6,7,6
39–48,6,8,5,7,6,7,7
15–17,6,8,5,7,6,9,5
39–48,6,8,5,7,6,10,8
29–38,6,8,5,7,6,89,6
58 и старше,6,8,5,7,6,89,7
29–38,6,8,5,7,7,6,9
39–48,6,8,5,7,7,8,6
58 и старше,6,8,5,7,7,8,7
49–57,6,8,5,7,7,8,8
49–57,6,8,5,7,7,9,5
58 и старше,6,8,5,7,7,10,5
29–38,6,8,5,7,7,10,8
39–48,6,8,5,7,8,5,7
15–17,6,8,5,7,8,7,6
39–48,6,8,5,7,8,7,7
29–38,6,8,5,7,8,7,8
29–38,6,8,5,7,8,8,7
58 и старше,6,8,5,7,8,8,7
18–28,6,8,5,7,8,8,8
39–48,6,8,5,7,8,8,8
39–48,6,8,5,7,8,9,6
39–48,6,8,5,7,8,10,7
58 и старше,6,8,5,7,8,10,7
29–38,6,8,5,7,8,10,8
29–38,6,8,5,7,8,89,5
49–57,6,8,5,7,9,8,8
15–17,6,8,5,7,9,9,4
58 и старше,6,8,5,7,9,89,7
39–48,6,8,5,7,10,4,9
29–38,6,8,5,7,10,5,7
58 и старше,6,8,5,7,10,7,6
39–48,6,8,5,7,10,89,6
58 и старше,6,8,5,7,10,89,6
18–28,6,8,5,8,5,8,8
49–57,6,8,5,8,5,10,9
58 и старше,6,8,5,8,5,10,9
58 и старше,6,8,5,8,5,89,6
18–28,6,8,5,8,6,8,6
49–57,6,8,5,8,6,9,8
39–48,6,8,5,8,6,10,7
15–17,6,8,5,8,6,89,7
58 и старше,6,8,5,8,7,5,5
58 и старше,6,8,5,8,7,8,7
29–38,6,8,5,8,7,8,8
58 и старше,6,8,5,8,7,8,9
29–38,6,8,5,8,7,89,6
18–28,6,8,5,8,7,89,7
49–57,6,8,5,8,7,89,7
15–17,6,8,5,8,8,6,9
49–57,6,8,5,8,8,8,6
18–28,6,8,5,8,8,8,8
58 и старше,6,8,5,8,8,8,9
39–48,6,8,5,8,8,10,8
49–57,6,8,5,8,8,89,9
39–48,6,8,5,8,9,7,10
29–38,6,8,5,8,9,8,7
15–17,6,8,5,8,9,8,8
39–48,6,8,5,8,9,89,10
15–17,6,8,5,8,10,4,4
39–48,6,8,5,8,10,7,8
49–57,6,8,5,9,6,4,8
58 и старше,6,8,5,9,6,89,4
39–48,6,8,5,9,7,7,9
58 и старше,6,8,5,9,7,10,8
29–38,6,8,5,9,8,9,9
58 и старше,6,8,5,9,8,10,7
15–17,6,8,5,9,8,89,8
18–28,6,8,5,9,9,6,6
18–28,6,8,5,9,9,7,7
29–38,6,8,5,9,9,8,7
58 и старше,6,8,5,9,9,8,8
39–48,6,8,5,9,9,9,8
29–38,6,8,5,9,10,10,8
39–48,6,8,5,10,2,6,9
58 и старше,6,8,5,10,6,89,6
39–48,6,8,5,10,7,5,8
29–38,6,8,5,10,7,8,7
29–38,6,8,5,10,7,8,9
58 и старше,6,8,5,10,7,9,5
58 и старше,6,8,5,10,7,10,89
29–38,6,8,5,10,8,8,8
29–38,6,8,5,10,8,9,8
58 и старше,6,8,5,10,8,9,8
29–38,6,8,5,10,8,89,7
58 и старше,6,8,5,10,8,89,7
58 и старше,6,8,5,10,8,89,9
29–38,6,8,5,10,9,9,8
29–38,6,8,5,10,10,5,4
15–17,6,8,5,10,10,7,6
49–57,6,8,6,4,6,89,6
49–57,6,8,6,4,9,10,89
58 и старше,6,8,6,5,4,7,6
29–38,6,8,6,5,5,5,5
29–38,6,8,6,5,6,89,7
39–48,6,8,6,5,7,8,6
15–17,6,8,6,5,7,9,7
39–48,6,8,6,5,8,8,9
58 и старше,6,8,6,5,8,9,8
58 и старше,6,8,6,5,8,89,6
29–38,6,8,6,5,9,89,4
49–57,6,8,6,5,9,89,8
18–28,6,8,6,6,6,9,7
15–17,6,8,6,6,6,89,8
58 и старше,6,8,6,6,7,9,5
49–57,6,8,6,6,7,89,5
29–38,6,8,6,6,7,89,6
58 и старше,6,8,6,6,8,6,6
29–38,6,8,6,6,8,9,8
58 и старше,6,8,6,6,8,89,7
29–38,6,8,6,6,9,7,7
58 и старше,6,8,6,6,9,7,7
29–38,6,8,6,6,9,8,6
58 и старше,6,8,6,6,9,8,7
15–17,6,8,6,7,4,7,7
58 и старше,6,8,6,7,4,8,6
29–38,6,8,6,7,4,10,8
18–28,6,8,6,7,5,7,6
18–28,6,8,6,7,5,7,7
39–48,6,8,6,7,5,7,8
29–38,6,8,6,7,5,8,8
39–48,6,8,6,7,6,7,5
18–28,6,8,6,7,6,7,6
18–28,6,8,6,7,6,7,7
29–38,6,8,6,7,6,7,8
39–48,6,8,6,7,6,8,7
58 и старше,6,8,6,7,6,8,8
39–48,6,8,6,7,6,8,9
49–57,6,8,6,7,6,8,9
58 и старше,6,8,6,7,6,8,10
18–28,6,8,6,7,6,9,7
58 и старше,6,8,6,7,6,10,7
58 и старше,6,8,6,7,6,89,7
49–57,6,8,6,7,7,1,7
29–38,6,8,6,7,7,7,6
49–57,6,8,6,7,7,7,7
58 и старше,6,8,6,7,7,7,7
18–28,6,8,6,7,7,7,89
29–38,6,8,6,7,7,8,6
49–57,6,8,6,7,7,8,7
29–38,6,8,6,7,7,8,8
49–57,6,8,6,7,7,9,7
58 и старше,6,8,6,7,7,9,7
18–28,6,8,6,7,7,9,8
29–38,6,8,6,7,7,9,9
49–57,6,8,6,7,7,10,7
58 и старше,6,8,6,7,7,10,9
15–17,6,8,6,7,7,89,6
39–48,6,8,6,7,7,89,7
39–48,6,8,6,7,7,89,9
15–17,6,8,6,7,7,89,10
58 и старше,6,8,6,7,8,6,7
18–28,6,8,6,7,8,6,8
29–38,6,8,6,7,8,7,7
39–48,6,8,6,7,8,7,7
49–57,6,8,6,7,8,7,9
15–17,6,8,6,7,8,8,7
49–57,6,8,6,7,8,8,7
58 и старше,6,8,6,7,8,8,7
29–38,6,8,6,7,8,8,8
58 и старше,6,8,6,7,8,8,8
39–48,6,8,6,7,8,9,7
49–57,6,8,6,7,8,9,7
49–57,6,8,6,7,8,9,10
29–38,6,8,6,7,8,10,7
49–57,6,8,6,7,8,89,5
58 и старше,6,8,6,7,8,89,7
18–28,6,8,6,7,8,89,8
15–17,6,8,6,7,8,89,9
49–57,6,8,6,7,9,7,7
58 и старше,6,8,6,7,9,7,7
58 и старше,6,8,6,7,9,8,9
39–48,6,8,6,7,9,89,7
58 и старше,6,8,6,7,10,8,6
29–38,6,8,6,8,3,10,10
49–57,6,8,6,8,4,8,7
15–17,6,8,6,8,5,8,8
15–17,6,8,6,8,6,6,7
58 и старше,6,8,6,8,6,7,9
18–28,6,8,6,8,6,8,6
58 и старше,6,8,6,8,6,8,6
39–48,6,8,6,8,6,8,7
39–48,6,8,6,8,6,9,8
39–48,6,8,6,8,6,9,9
18–28,6,8,6,8,6,10,8
58 и старше,6,8,6,8,6,89,6
18–28,6,8,6,8,7,6,9
58 и старше,6,8,6,8,7,7,8
29–38,6,8,6,8,7,8,7
49–57,6,8,6,8,7,8,7
39–48,6,8,6,8,7,8,8
58 и старше,6,8,6,8,7,8,8
29–38,6,8,6,8,7,9,10
58 и старше,6,8,6,8,7,89,6
18–28,6,8,6,8,7,89,7
39–48,6,8,6,8,7,89,8
58 и старше,6,8,6,8,7,89,9
15–17,6,8,6,8,8,7,8
29–38,6,8,6,8,8,7,8
18–28,6,8,6,8,8,8,6
39–48,6,8,6,8,8,8,6
29–38,6,8,6,8,8,8,7
58 и старше,6,8,6,8,8,8,7
18–28,6,8,6,8,8,8,8
29–38,6,8,6,8,8,8,8
58 и старше,6,8,6,8,8,8,8
29–38,6,8,6,8,8,8,9
49–57,6,8,6,8,8,9,7
49–57,6,8,6,8,8,9,8
49–57,6,8,6,8,8,9,10
29–38,6,8,6,8,8,10,7
58 и старше,6,8,6,8,8,10,7
29–38,6,8,6,8,8,89,8
49–57,6,8,6,8,8,89,9
39–48,6,8,6,8,9,3,5
29–38,6,8,6,8,9,5,7
18–28,6,8,6,8,9,7,7
39–48,6,8,6,8,9,7,7
39–48,6,8,6,8,9,8,5
49–57,6,8,6,8,9,8,7
29–38,6,8,6,8,9,8,8
29–38,6,8,6,8,9,10,9
49–57,6,8,6,8,10,7,9
58 и старше,6,8,6,8,10,9,5
18–28,6,8,6,8,10,9,9
39–48,6,8,6,8,10,10,7
49–57,6,8,6,9,5,89,5
58 и старше,6,8,6,9,6,8,7
39–48,6,8,6,9,6,89,6
58 и старше,6,8,6,9,7,6,6
18–28,6,8,6,9,7,8,7
49–57,6,8,6,9,7,89,6
49–57,6,8,6,9,7,89,7
18–28,6,8,6,9,8,6,7
58 и старше,6,8,6,9,8,7,8
29–38,6,8,6,9,8,8,8
58 и старше,6,8,6,9,8,8,8
39–48,6,8,6,9,8,9,89
18–28,6,8,6,9,9,7,6
29–38,6,8,6,9,9,8,7
49–57,6,8,6,10,4,7,8
39–48,6,8,6,10,4,10,89
18–28,6,8,6,10,5,9,8
58 и старше,6,8,6,10,5,89,8
18–28,6,8,6,10,6,5,7
49–57,6,8,6,10,6,7,5
29–38,6,8,6,10,6,7,6
58 и старше,6,8,6,10,6,8,7
29–38,6,8,6,10,7,7,6
58 и старше,6,8,6,10,7,8,7
39–48,6,8,6,10,7,9,9
15–17,6,8,6,10,8,7,6
49–57,6,8,6,10,8,7,7
39–48,6,8,6,10,8,10,10
29–38,6,8,6,10,9,7,2
29–38,6,8,6,10,9,8,7
49–57,6,8,6,10,9,9,7
18–28,6,8,6,10,10,7,10
49–57,6,8,6,10,10,10,7
39–48,6,8,6,10,10,10,10
58 и старше,6,8,6,10,10,10,10
29–38,6,8,6,10,10,89,6
49–57,6,8,7,4,6,10,5
18–28,6,8,7,4,6,89,8
15–17,6,8,7,4,7,10,7
58 и старше,6,8,7,4,7,89,6
15–17,6,8,7,4,8,9,9
58 и старше,6,8,7,5,6,7,7
29–38,6,8,7,5,6,89,9
39–48,6,8,7,5,7,7,6
18–28,6,8,7,5,7,10,4
58 и старше,6,8,7,5,7,10,7
58 и старше,6,8,7,5,7,10,9
58 и старше,6,8,7,5,7,89,5
29–38,6,8,7,5,9,8,6
58 и старше,6,8,7,5,10,7,6
29–38,6,8,7,5,10,10,9
58 и старше,6,8,7,6,4,8,8
18–28,6,8,7,6,5,5,7
58 и старше,6,8,7,6,6,7,9
29–38,6,8,7,6,6,8,6
58 и старше,6,8,7,6,6,8,7
58 и старше,6,8,7,6,6,89,6
58 и старше,6,8,7,6,6,89,8
58 и старше,6,8,7,6,7,4,9
49–57,6,8,7,6,7,6,7
29–38,6,8,7,6,7,7,6
49–57,6,8,7,6,7,7,8
39–48,6,8,7,6,7,7,9
58 и старше,6,8,7,6,7,8,8
18–28,6,8,7,6,7,89,8
15–17,6,8,7,6,8,8,4
18–28,6,8,7,6,8,8,6
58 и старше,6,8,7,6,8,10,7
18–28,6,8,7,6,9,6,7
58 и старше,6,8,7,6,9,7,6
49–57,6,8,7,6,9,8,7
29–38,6,8,7,6,9,8,10
39–48,6,8,7,6,9,10,9
18–28,6,8,7,6,9,89,6
49–57,6,8,7,6,9,89,7
29–38,6,8,7,6,10,7,7
39–48,6,8,7,7,3,8,10
58 и старше,6,8,7,7,4,5,5
18–28,6,8,7,7,4,7,7
58 и старше,6,8,7,7,4,8,5
49–57,6,8,7,7,4,9,8
39–48,6,8,7,7,4,10,4
58 и старше,6,8,7,7,5,5,7
58 и старше,6,8,7,7,5,8,7
29–38,6,8,7,7,5,89,7
49–57,6,8,7,7,6,6,7
39–48,6,8,7,7,6,6,8
58 и старше,6,8,7,7,6,7,5
49–57,6,8,7,7,6,7,7
58 и старше,6,8,7,7,6,7,7
15–17,6,8,7,7,6,8,7
58 и старше,6,8,7,7,6,8,7
49–57,6,8,7,7,6,9,6
39–48,6,8,7,7,6,9,7
39–48,6,8,7,7,6,9,8
49–57,6,8,7,7,6,10,5
29–38,6,8,7,7,6,10,6
49–57,6,8,7,7,6,89,6
18–28,6,8,7,7,6,89,7
58 и старше,6,8,7,7,6,89,8
29–38,6,8,7,7,6,89,10
58 и старше,6,8,7,7,7,6,5
39–48,6,8,7,7,7,6,7
29–38,6,8,7,7,7,6,8
18–28,6,8,7,7,7,7,6
58 и старше,6,8,7,7,7,7,7
58 и старше,6,8,7,7,7,7,8
39–48,6,8,7,7,7,7,9
29–38,6,8,7,7,7,7,10
29–38,6,8,7,7,7,8,7
49–57,6,8,7,7,7,8,7
58 и старше,6,8,7,7,7,8,8
49–57,6,8,7,7,7,9,7
18–28,6,8,7,7,7,9,8
49–57,6,8,7,7,7,9,8
29–38,6,8,7,7,7,10,7
39–48,6,8,7,7,7,10,9
49–57,6,8,7,7,7,89,4
58 и старше,6,8,7,7,7,89,5
18–28,6,8,7,7,7,89,7
39–48,6,8,7,7,7,89,7
49–57,6,8,7,7,7,89,7
49–57,6,8,7,7,7,89,8
29–38,6,8,7,7,8,5,7
58 и старше,6,8,7,7,8,5,8
58 и старше,6,8,7,7,8,6,7
58 и старше,6,8,7,7,8,7,7
58 и старше,6,8,7,7,8,7,8
58 и старше,6,8,7,7,8,7,9
18–28,6,8,7,7,8,8,6
18–28,6,8,7,7,8,8,7
29–38,6,8,7,7,8,8,7
49–57,6,8,7,7,8,8,7
58 и старше,6,8,7,7,8,8,7
15–17,6,8,7,7,8,8,8
39–48,6,8,7,7,8,8,8
58 и старше,6,8,7,7,8,8,9
29–38,6,8,7,7,8,9,7
39–48,6,8,7,7,8,9,7
58 и старше,6,8,7,7,8,9,7
18–28,6,8,7,7,8,10,7
49–57,6,8,7,7,8,10,7
39–48,6,8,7,7,8,89,7
29–38,6,8,7,7,8,89,8
39–48,6,8,7,7,8,89,8
49–57,6,8,7,7,8,89,8
58 и старше,6,8,7,7,8,89,10
29–38,6,8,7,7,9,6,5
18–28,6,8,7,7,9,7,7
29–38,6,8,7,7,9,7,7
49–57,6,8,7,7,9,7,7
58 и старше,6,8,7,7,9,7,8
39–48,6,8,7,7,9,7,9
58 и старше,6,8,7,7,9,8,6
58 и старше,6,8,7,7,9,9,7
49–57,6,8,7,7,9,9,8
58 и старше,6,8,7,7,9,9,8
58 и старше,6,8,7,7,9,9,9
39–48,6,8,7,7,9,10,7
58 и старше,6,8,7,7,9,10,7
39–48,6,8,7,7,9,89,6
29–38,6,8,7,7,9,89,7
58 и старше,6,8,7,7,10,7,7
58 и старше,6,8,7,7,10,8,5
58 и старше,6,8,7,7,10,8,7
49–57,6,8,7,7,10,8,8
58 и старше,6,8,7,7,10,8,10
29–38,6,8,7,7,10,8,89
29–38,6,8,7,7,10,9,7
49–57,6,8,7,7,10,10,6
39–48,6,8,7,7,10,10,7
29–38,6,8,7,7,10,10,8
58 и старше,6,8,7,7,10,10,89
49–57,6,8,7,7,10,89,6
18–28,6,8,7,7,10,89,7
29–38,6,8,7,7,10,89,7
58 и старше,6,8,7,7,10,89,7
58 и старше,6,8,7,8,5,8,5
39–48,6,8,7,8,5,10,10
29–38,6,8,7,8,6,7,7
58 и старше,6,8,7,8,6,8,8
49–57,6,8,7,8,6,9,8
39–48,6,8,7,8,7,5,7
58 и старше,6,8,7,8,7,7,6
29–38,6,8,7,8,7,7,7
39–48,6,8,7,8,7,7,7
49–57,6,8,7,8,7,7,7
29–38,6,8,7,8,7,7,8
39–48,6,8,7,8,7,7,8
58 и старше,6,8,7,8,7,7,8
58 и старше,6,8,7,8,7,7,9
39–48,6,8,7,8,7,8,6
18–28,6,8,7,8,7,8,7
39–48,6,8,7,8,7,8,7
49–57,6,8,7,8,7,8,8
15–17,6,8,7,8,7,8,10
29–38,6,8,7,8,7,9,9
58 и старше,6,8,7,8,7,9,9
15–17,6,8,7,8,7,9,10
58 и старше,6,8,7,8,7,9,10
29–38,6,8,7,8,7,10,4
39–48,6,8,7,8,7,10,5
49–57,6,8,7,8,7,10,7
49–57,6,8,7,8,7,89,4
49–57,6,8,7,8,7,89,7
29–38,6,8,7,8,7,89,8
39–48,6,8,7,8,7,89,8
39–48,6,8,7,8,8,5,5
29–38,6,8,7,8,8,6,7
18–28,6,8,7,8,8,6,8
58 и старше,6,8,7,8,8,6,8
18–28,6,8,7,8,8,7,7
29–38,6,8,7,8,8,7,7
39–48,6,8,7,8,8,7,7
18–28,6,8,7,8,8,7,8
29–38,6,8,7,8,8,7,8
58 и старше,6,8,7,8,8,7,8
29–38,6,8,7,8,8,7,9
58 и старше,6,8,7,8,8,7,9
18–28,6,8,7,8,8,7,10
49–57,6,8,7,8,8,8,4
49–57,6,8,7,8,8,8,7
58 и старше,6,8,7,8,8,8,7
29–38,6,8,7,8,8,8,8
49–57,6,8,7,8,8,8,8
58 и старше,6,8,7,8,8,8,8
18–28,6,8,7,8,8,9,7
29–38,6,8,7,8,8,9,7
39–48,6,8,7,8,8,9,8
58 и старше,6,8,7,8,8,9,8
29–38,6,8,7,8,8,9,9
58 и старше,6,8,7,8,8,9,9
18–28,6,8,7,8,8,10,7
29–38,6,8,7,8,8,10,7
39–48,6,8,7,8,8,10,8
49–57,6,8,7,8,8,10,8
58 и старше,6,8,7,8,8,89,5
49–57,6,8,7,8,8,89,6
58 и старше,6,8,7,8,8,89,6
29–38,6,8,7,8,9,6,7
29–38,6,8,7,8,9,7,6
39–48,6,8,7,8,9,7,7
58 и старше,6,8,7,8,9,7,8
58 и старше,6,8,7,8,9,9,7
39–48,6,8,7,8,9,9,8
15–17,6,8,7,8,9,10,4
58 и старше,6,8,7,8,9,10,8
49–57,6,8,7,8,9,10,9
49–57,6,8,7,8,9,89,8
58 и старше,6,8,7,8,9,89,9
49–57,6,8,7,8,10,5,4
18–28,6,8,7,8,10,7,5
18–28,6,8,7,8,10,7,7
39–48,6,8,7,8,10,7,7
58 и старше,6,8,7,8,10,7,7
29–38,6,8,7,8,10,7,10
29–38,6,8,7,8,10,8,8
58 и старше,6,8,7,8,10,8,9
58 и старше,6,8,7,8,10,8,10
58 и старше,6,8,7,8,10,9,8
18–28,6,8,7,8,10,9,9
58 и старше,6,8,7,8,10,10,6
15–17,6,8,7,8,10,10,9
58 и старше,6,8,7,8,10,89,6
39–48,6,8,7,8,10,89,9
29–38,6,8,7,9,1,89,5
29–38,6,8,7,9,5,8,5
39–48,6,8,7,9,5,9,8
58 и старше,6,8,7,9,6,5,4
39–48,6,8,7,9,6,8,4
58 и старше,6,8,7,9,6,9,5
58 и старше,6,8,7,9,6,89,9
39–48,6,8,7,9,7,7,4
49–57,6,8,7,9,7,8,4
58 и старше,6,8,7,9,7,8,4
39–48,6,8,7,9,7,8,7
18–28,6,8,7,9,7,8,10
29–38,6,8,7,9,7,9,6
29–38,6,8,7,9,7,9,7
29–38,6,8,7,9,7,89,5
18–28,6,8,7,9,7,89,6
29–38,6,8,7,9,7,89,8
39–48,6,8,7,9,7,89,8
58 и старше,6,8,7,9,7,89,8
58 и старше,6,8,7,9,7,89,9
49–57,6,8,7,9,8,3,8
58 и старше,6,8,7,9,8,5,9
39–48,6,8,7,9,8,6,6
29–38,6,8,7,9,8,6,7
29–38,6,8,7,9,8,7,8
29–38,6,8,7,9,8,8,6
49–57,6,8,7,9,8,8,7
29–38,6,8,7,9,8,8,8
15–17,6,8,7,9,8,9,10
18–28,6,8,7,9,8,10,5
29–38,6,8,7,9,8,10,8
29–38,6,8,7,9,8,10,9
18–28,6,8,7,9,8,89,7
29–38,6,8,7,9,8,89,7
49–57,6,8,7,9,8,89,8
29–38,6,8,7,9,8,89,10
39–48,6,8,7,9,9,6,6
29–38,6,8,7,9,9,8,7
49–57,6,8,7,9,9,8,7
58 и старше,6,8,7,9,9,8,9
18–28,6,8,7,9,9,10,8
29–38,6,8,7,9,9,89,7
39–48,6,8,7,9,9,89,7
49–57,6,8,7,9,9,89,8
49–57,6,8,7,9,10,6,7
49–57,6,8,7,9,10,7,9
29–38,6,8,7,9,10,8,6
29–38,6,8,7,9,10,8,8
58 и старше,6,8,7,9,10,9,7
29–38,6,8,7,9,10,9,8
58 и старше,6,8,7,9,10,89,5
29–38,6,8,7,10,4,3,7
39–48,6,8,7,10,4,8,7
29–38,6,8,7,10,5,6,4
58 и старше,6,8,7,10,5,8,6
58 и старше,6,8,7,10,5,8,10
18–28,6,8,7,10,6,7,6
58 и старше,6,8,7,10,6,8,7
18–28,6,8,7,10,6,10,7
49–57,6,8,7,10,7,6,5
39–48,6,8,7,10,7,7,9
39–48,6,8,7,10,7,8,6
18–28,6,8,7,10,7,9,8
49–57,6,8,7,10,7,10,5
49–57,6,8,7,10,7,10,6
29–38,6,8,7,10,7,10,7
39–48,6,8,7,10,7,89,7
49–57,6,8,7,10,8,4,5
29–38,6,8,7,10,8,5,4
39–48,6,8,7,10,8,6,10
39–48,6,8,7,10,8,7,5
58 и старше,6,8,7,10,8,7,8
58 и старше,6,8,7,10,8,7,10
49–57,6,8,7,10,8,8,8
18–28,6,8,7,10,8,9,7
49–57,6,8,7,10,8,9,8
58 и старше,6,8,7,10,8,9,9
18–28,6,8,7,10,9,8,7
58 и старше,6,8,7,10,9,9,4
29–38,6,8,7,10,9,10,7
58 и старше,6,8,7,10,10,8,8
29–38,6,8,7,10,10,8,9
29–38,6,8,7,10,10,89,8
29–38,6,8,8,3,8,89,5
39–48,6,8,8,4,4,9,7
29–38,6,8,8,4,5,9,8
58 и старше,6,8,8,4,6,4,9
18–28,6,8,8,4,6,7,8
49–57,6,8,8,4,7,5,7
39–48,6,8,8,5,4,10,9
29–38,6,8,8,5,4,89,6
18–28,6,8,8,5,5,7,6
18–28,6,8,8,5,6,7,6
58 и старше,6,8,8,5,6,8,5
49–57,6,8,8,5,6,8,10
29–38,6,8,8,5,7,5,6
29–38,6,8,8,5,7,6,10
39–48,6,8,8,5,7,7,7
18–28,6,8,8,5,7,10,5
29–38,6,8,8,5,8,4,7
49–57,6,8,8,5,8,7,5
58 и старше,6,8,8,5,8,7,6
15–17,6,8,8,5,10,6,7
18–28,6,8,8,5,10,7,6
58 и старше,6,8,8,6,4,7,7
39–48,6,8,8,6,4,9,5
58 и старше,6,8,8,6,4,89,8
39–48,6,8,8,6,6,5,9
58 и старше,6,8,8,6,6,8,8
39–48,6,8,8,6,6,8,89
58 и старше,6,8,8,6,6,89,7
29–38,6,8,8,6,6,89,8
39–48,6,8,8,6,6,89,8
58 и старше,6,8,8,6,7,5,7
29–38,6,8,8,6,7,6,6
58 и старше,6,8,8,6,7,7,7
58 и старше,6,8,8,6,7,8,6
29–38,6,8,8,6,7,8,8
18–28,6,8,8,6,7,89,8
29–38,6,8,8,6,8,4,6
49–57,6,8,8,6,8,6,9
29–38,6,8,8,6,8,7,7
58 и старше,6,8,8,6,8,7,8
39–48,6,8,8,6,8,7,89
39–48,6,8,8,6,8,8,7
18–28,6,8,8,6,8,10,5
29–38,6,8,8,6,8,10,7
29–38,6,8,8,6,9,7,4
15–17,6,8,8,6,9,8,7
29–38,6,8,8,6,9,8,8
29–38,6,8,8,6,9,9,5
49–57,6,8,8,6,9,9,7
29–38,6,8,8,6,10,7,7
39–48,6,8,8,7,4,6,4
58 и старше,6,8,8,7,4,6,7
15–17,6,8,8,7,4,7,6
18–28,6,8,8,7,4,7,9
39–48,6,8,8,7,4,8,7
39–48,6,8,8,7,4,9,9
29–38,6,8,8,7,4,10,8
18–28,6,8,8,7,5,4,89
49–57,6,8,8,7,5,5,7
29–38,6,8,8,7,5,6,4
29–38,6,8,8,7,5,6,7
58 и старше,6,8,8,7,5,6,10
29–38,6,8,8,7,5,7,7
29–38,6,8,8,7,5,8,8
29–38,6,8,8,7,5,9,6
29–38,6,8,8,7,5,9,8
58 и старше,6,8,8,7,5,10,9
58 и старше,6,8,8,7,5,89,5
39–48,6,8,8,7,5,89,7
29–38,6,8,8,7,6,4,8
39–48,6,8,8,7,6,4,9
29–38,6,8,8,7,6,5,6
58 и старше,6,8,8,7,6,5,6
39–48,6,8,8,7,6,5,7
58 и старше,6,8,8,7,6,5,7
49–57,6,8,8,7,6,6,89
49–57,6,8,8,7,6,7,6
15–17,6,8,8,7,6,7,7
58 и старше,6,8,8,7,6,7,7
18–28,6,8,8,7,6,7,8
29–38,6,8,8,7,6,7,8
58 и старше,6,8,8,7,6,7,8
18–28,6,8,8,7,6,7,9
58 и старше,6,8,8,7,6,7,10
29–38,6,8,8,7,6,8,7
58 и старше,6,8,8,7,6,8,7
49–57,6,8,8,7,6,8,8
58 и старше,6,8,8,7,6,8,8
58 и старше,6,8,8,7,6,8,10
49–57,6,8,8,7,6,9,7
49–57,6,8,8,7,6,9,9
39–48,6,8,8,7,6,9,89
49–57,6,8,8,7,6,10,7
29–38,6,8,8,7,6,10,8
29–38,6,8,8,7,6,10,9
29–38,6,8,8,7,6,89,7
49–57,6,8,8,7,6,89,7
39–48,6,8,8,7,6,89,8
49–57,6,8,8,7,6,89,8
58 и старше,6,8,8,7,6,89,8
58 и старше,6,8,8,7,7,5,5
29–38,6,8,8,7,7,5,7
39–48,6,8,8,7,7,5,7
58 и старше,6,8,8,7,7,5,7
39–48,6,8,8,7,7,7,6
39–48,6,8,8,7,7,7,7
58 и старше,6,8,8,7,7,7,7
29–38,6,8,8,7,7,7,8
39–48,6,8,8,7,7,7,8
49–57,6,8,8,7,7,7,8
18–28,6,8,8,7,7,7,9
29–38,6,8,8,7,7,8,7
39–48,6,8,8,7,7,8,7
49–57,6,8,8,7,7,8,7
29–38,6,8,8,7,7,8,8
58 и старше,6,8,8,7,7,8,8
18–28,6,8,8,7,7,8,9
18–28,6,8,8,7,7,8,10
18–28,6,8,8,7,7,9,4
29–38,6,8,8,7,7,9,6
29–38,6,8,8,7,7,9,7
49–57,6,8,8,7,7,9,7
58 и старше,6,8,8,7,7,9,7
58 и старше,6,8,8,7,7,10,6
39–48,6,8,8,7,7,10,7
18–28,6,8,8,7,7,89,6
29–38,6,8,8,7,7,89,6
18–28,6,8,8,7,7,89,8
29–38,6,8,8,7,7,89,8
39–48,6,8,8,7,8,1,7
18–28,6,8,8,7,8,3,89
58 и старше,6,8,8,7,8,5,7
39–48,6,8,8,7,8,5,8
39–48,6,8,8,7,8,6,7
49–57,6,8,8,7,8,6,7
58 и старше,6,8,8,7,8,7,7
15–17,6,8,8,7,8,7,8
58 и старше,6,8,8,7,8,7,8
15–17,6,8,8,7,8,8,5
